j;Ptz;t;K;DA;DB;DC;DD;Y;Pt;Pe;Zg;Zw;PtA;PtB;PtC;PtD;PtS;E;PeA;PeB;PeC;PeD;ZgA;ZwB;ZwC;ZwD;RA;RB;RC;RD
1588.0;431.2;-0.2;171.1;1.0;1.0;1.0;1.0;25062.851;431.2;256.745;305.941;2554.432;50.85;151.59;-0.0;220.0;-8.76;367.004;45.453;101.292;0.0;110.0;305.941;1231.612;0.0;1322.82;0;0;12000;0
1589.0;458.7;-2.0;173.0;1.0;1.0;1.0;1.0;28928.388;458.7;255.561;305.94;2554.066;50.85;157.85;-0.0;220.0;-30;337.004;45.453;100.108;0.0;110.0;305.94;1231.246;0.0;1322.82;0;0;12000;0
1590.0;464.0;-1.7;178.6;1.0;1.0;1.0;1.0;30874.848;464.0;254.558;305.94;2553.806;50.85;163.15;-0.0;220.0;-30;307.004;45.453;99.105;0.0;110.0;305.94;1230.986;0.0;1322.82;0;0;12000;0
1591.0;462.0;-1.0;194.6;1.0;1.0;1.0;1.0;44896.323;462.0;334.13;305.941;3384.39;50.85;98.018;153.133;220.0;60;367.004;45.453;105.0;73.677;110.0;305.941;1123.238;938.333;1322.818;0;0;0;0
1592.0;438.8;0.4;213.7;1.0;1.0;1.0;1.0;49647.904;438.8;356.646;305.941;3549.099;50.85;0.0;166.969;220.0;-0.981;366.023;45.453;120.0;81.193;110.0;305.941;1208.39;1017.889;1322.82;0;0;0;0
1593.0;353.0;2.5;242.7;1.0;1.0;1.0;1.0;47851.498;353.0;312.915;305.941;3086.196;50.85;-0.0;139.0;167.464;4.314;370.337;45.453;120.0;66.0;81.462;305.941;1208.39;857.07;1020.736;0;0;0;0
1594.0;294.4;4.9;242.7;1.0;1.0;1.0;1.0;38897.249;294.4;263.252;0.0;3041.633;0.0;-0.0;139.0;159.714;4.314;374.65;0.0;120.0;66.0;77.252;0.0;1208.39;857.07;976.173;0;0;0;0
1595.0;243.9;6.9;242.7;1.0;1.0;1.0;1.0;34479.969;243.9;227.624;0.0;2522.667;-0.0;28.214;0.0;220.0;4.314;378.964;0.0;117.624;-0.0;110.0;0.0;1199.847;0.0;1322.82;0;0;0;0
1596.0;217.2;7.9;242.7;1.0;1.0;1.0;1.0;27150.833;217.2;229.873;0.0;2494.002;-0.0;1.514;0.0;220.0;4.314;383.277;0.0;119.873;-0.0;110.0;0.0;1171.182;0.0;1322.82;5000;0;0;0
1597.0;203.5;8.2;242.7;1.0;1.0;1.0;1.0;29927.881;203.5;240.263;301.282;2172.983;50.114;0.0;0.0;157.7;4.314;387.591;44.106;120.0;0.0;76.158;301.282;1208.39;0.0;964.593;0;0;0;0
1598.0;208.5;8.3;242.7;1.0;1.0;1.0;1.0;30633.922;208.5;242.95;301.136;2201.865;50.091;0.0;-0.0;162.723;4.314;391.905;44.064;120.0;0.0;78.886;301.136;1208.39;0.0;993.475;0;0;0;0
